Word,Korean Translation
rubbish,쓰레기
rumor,소문
rural,시골의
rust,녹
sacred,신성한
sacrifice,희생
sake,이유
salary,급여
satellite,위성
satisfy,만족시키다
sauce,소스
savage,야만적인
scan,훑어보다
scandal,스캔들
scarce,부족한
scare,겁나게 하다
scarf,스카프
scatter,흩뿌리다
schedule,일정
scheme,"계획, 음모"
scholar,학자
scope,범위
scramble,뒤섞다
scratch,긁다
scream,비명을 지르다
screw,나사
scrutiny,정밀 조사
sculpt,조각하다
sculpture,조각
secret,비밀
secretary,비서
section,부분
sector,부문
secure,안전한
segment,부분
seize,잡다
senior,연장자의
sensation,감각
sensible,분별 있는
sentence,"문장, 선고"
sentiment,감정
separate,분리하다
sequence,순서
serious,심각한
session,회기
settle,"해결하다, 정착하다"
several,몇몇의
severe,심각한
sew,바느질하다
sewage,하수
shade,그늘
shadow,그림자
shallow,얕은
shame,수치
shatter,산산조각 내다
shave,면도하다
shed,"흘리다, 헛간"
shelf,선반
shelter,피난처
shore,해안
shout,외치다
shower,샤워
shrink,줄어들다
shrug,어깨를 으쓱하다
sigh,한숨
significant,중요한
silent,조용한
silly,어리석은
similar,비슷한
simulate,시뮬레이션하다
simultaneous,동시의
sin,죄
situate,위치시키다
situation,상황
skip,건너뛰다
slaughter,도살
slave,노예
slice,조각
slide,미끄러지다
slight,약간의
slim,날씬한
slogan,슬로건
slope,경사
smash,부수다
smooth,매끄러운
sneak,몰래 하다
soak,적시다
soar,치솟다
society,사회
sociology,사회학
soldier,군인
sole,"유일한, 발바닥"
solid,단단한
solve,해결하다
somewhat,다소
sophisticate,세련된
sore,아픈
sour,신
spacious,넓은
span,기간
spare,"여분의, 아끼다"
spear,창
species,종
specific,구체적인
spectacle,구경거리
spectrum,스펙트럼
sphere,구체
spill,엎지르다
spirit,정신
spit,침을 뱉다
splash,튀기다
split,쪼개다
spoil,망치다
sponsor,후원자
spouse,배우자
sprain,삐다
sprout,싹트다
squeeze,짜다
stable,안정된
stack,쌓다
stain,얼룩
stairs,계단
stance,자세
standard,표준
staple,주된
stare,응시하다
starve,굶주리다
static,정적인
statistic,통계
statue,조각상
status,지위
steady,꾸준한
steep,가파른
steer,조종하다
stem,"줄기, 비롯하다"
stiff,뻣뻣한
stimulate,자극하다
stink,악취가 나다
stir,젓다
stomach,위
stout,튼튼한
stove,난로
strain,"긴장, 부담"
strategy,전략
stretch,늘이다
strict,엄격한
strike,"치다, 파업"
string,줄
strip,벗기다
stripe,줄무늬
strive,노력하다
stroke,"뇌졸중, 쓰다듬다"
structure,구조
struggle,투쟁하다
stun,기절시키다
sturdy,튼튼한
subdue,진압하다
subject,"주제, 과목"
subjective,주관적인
submarine,잠수함
submission,제출
submit,제출하다
subscribe,구독하다
subsequent,후속의
substance,물질
substantial,실질적인
substitute,대체하다
subtle,미묘한
suburb,교외
succeed,성공하다
success,성공
suck,빨다
sudden,갑작스러운
suffer,고통받다
suffice,충분하다
sufficient,충분한
suggest,제안하다
suicide,자살
suite,스위트룸
summary,요약
summit,정상
summon,소환하다
superb,훌륭한
superior,우수한
supervise,감독하다
supplement,보충하다
supply,공급하다
suppose,가정하다
suppress,억압하다
supreme,최고의
surface,표면
surgery,수술
surpass,능가하다
surplus,잉여
surprise,놀람
surrender,항복하다
surround,둘러싸다
survey,조사
survive,생존하다
suspect,"용의자, 의심하다"
suspend,중단하다
